Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
",,,,,,,,,Rahvakogu,Some text,http://www.flickr.com/photos/zachwise/6115056146/in/photostream,Zach Wise/verite.co,""<a href=""""http://www.flickr.com/photos/zachwise/6115056146/"""" title=""""Chicago by zach.wise, on Flickr"""">Chicago by zach.wise</a>"",,title,,"
2017,10,10,,,,,,,Aita Linnahalli seinamaaling lõpuni viia ja säilitada,Menetlus lõpetatud,https://drive.google.com/file/d/1w42nccSyoGXw7GVRuwBH5t-NwA0sHZzf/view?usp=sharing,,,,,,#333333
2017,9,28,,,,,,,Aita Linnahalli seinamaaling lõpuni viia ja säilitada,Riigikogu kultuurikomisjoni erakorralise istungi protokoll nr 150,https://drive.google.com/file/d/1GxXbST8zmbp_UbBUbgAEgCZGe1396EG1/view?usp=sharing,,,,,,http://knightlab.northwestern.edu/wp-content/uploads/2015/03/front-page-image.jpg
2017,9,26,,,,,,,Aita Linnahalli seinamaaling lõpuni viia ja säilitada,Kollektiivse pöördumise menetlusse võtmine,https://drive.google.com/file/d/1WS6UdI83W8Ij81BcrBf1LVQ_rGufBgFk/view?usp=sharing,,,,,,
"2017,6,21,,,,,,,""Rail Baltic - valitu, kuula valijate tahet, ära võta vastu meie maad hävitavaid otsuseid!"",Vastuskiri pöördumisele,https://drive.google.com/file/d/1IRBzQIDe6UM849HcFeKZ7cezqQoMj4As/view?usp=sharing,,,,,,"
2016,11,24,,,,,,,Glüfosaadi kasutamine tuleb Eestis keelata,Menetlus lõpetati 24.11.2016,https://drive.google.com/drive/folders/1mCrtTPKza3FaDl7-H0DIqKHVfSAjSimX,,,,,,
2016,6,6,,,,,,,Glüfosaadi kasutamine tuleb Eestis keelata,maaelukomisjoni istungi protokoll nr 71,https://drive.google.com/file/d/1Qo8CGVaYgzLYDrGZWV2hgg-Kc_pRk37w/view?usp=sharing,,,,,,
2016,6,3,,,,,,,Glüfosaadi kasutamine tuleb Eestis keelata,Avalik pöördumine Riigikogu Maaelukomisjoni poole (Märgukiri),https://drive.google.com/file/d/16KpzXlmnSHpyqX-oqWQqv1elDcmtHuvW/view?usp=sharing,,,,,,
2016,5,19,,,,,,,Glüfosaadi kasutamine tuleb Eestis keelata,Riigikogu juhatus võttis pöördumise menetlusse,https://drive.google.com/file/d/1gBzCfiSy69KtG7nY_w4rcEPyEnUzd8Fg/view?usp=sharing,,,,,,
2016,7,6,,,,,,,Lendorava ja metsade kaitseks,Menetlus lõpetati,https://drive.google.com/file/d/1VkG364LRwVHn1W0-5T2c91RtN2qoEiOg/view?usp=sharing,,,,,,
2017,10,6,,,,,,,Lendorava ja metsade kaitseks,Riigikogu juhatus võttis pöördumise menetlusse,https://drive.google.com/file/d/1VKFJIfxAyJw4vDUaX68Vr3VPry2bEo9w/view?usp=sharing,,,,,,
"2017,5,8,,,,,,,Peatame veipimise võrdsustamise suitsetamisega!,""Riigikogu sotsiaalkomisjoni istungi protokoll nr 13330.06.2017. Otsustati:"
"2.1 Jätkata arutelu (konsensus - Helmen Kütt, Monika Haukanõmm, Jüri Jaanson, Marika Tuus-Laul, Maris Lauri, Tiina Kangro, Viktor Vassiljev)"",https://drive.google.com/file/d/1Ub7YN59DTAKuk5-e4LvAottFCdOrix1F/view?usp=sharing,,,,,,"
2017,4,6,,,,,,,Peatame veipimise võrdsustamise suitsetamisega!,Kollektiivse pöördumise menetlusse võtmine,,,,,,,
2017,6,20,,,,,,,Balti riikide vahelise Rail Balticu lepingu allkirjastamine 31. jaanuaril on praegusel kujul lub...,vastuskiri  ,https://drive.google.com/file/d/1JmnuUh8Pq7W1vPqo85kEhcPTIX_VUTf8/view?usp=sharing,,,,,,
2017,4,19,,,,,,,Balti riikide vahelise Rail Balticu lepingu allkirjastamine 31. jaanuaril on praegusel kujul lub...,Riigikogu majanduskomisjoni istungi protokoll nr 134,https://drive.google.com/file/d/1BMEBHGzozxReTwzy0KIXlySBvAw77CsO/view?usp=sharing,,,,,,
2017,4,6,,,,,,,Balti riikide vahelise Rail Balticu lepingu allkirjastamine 31. jaanuaril on praegusel kujul lub...,Kollektiivse pöördumise menetlusse võtmine,https://drive.google.com/file/d/1L2WTIvEVmBERqOMphMPdn18veprNqSsd/view?usp=sharing,,,,,,
"2017,9,26,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Põhiseaduskomisjoni 26.09.2017 istungi protokoll nr 127,https://drive.google.com/file/d/1Wu9pUC-EWlUCtNXKChcyYDxCha4GJFoB/view?usp=sharing,,,,,,"
"2017,9,18,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Põhiseaduskomisjoni 18.09.2017 istungi protokoll 125. Aja puudusel päevakorrapunkti ei arutatud ning arutelu lükkus edasi.,https://drive.google.com/file/d/1N_YWq6picfcqr3mFnsbCisDoU_3alB7X/view?usp=sharing,,,,,,"
"2017,8,16,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Vastukiri 16.08.2017 Kollektiivne pöördumise menetlemisest,https://drive.google.com/file/d/1RayhPy54IFoyAuhLBXPlrWWnBgR446XB/view?usp=sharing,,,,,,"
"2017,6,20,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Kiri Riigikogu Juhatusele - Kollektiivse pöördumise menetlemisest,https://drive.google.com/file/d/1Wu9pUC-EWlUCtNXKChcyYDxCha4GJFoB/view?usp=sharing,,,,,,"
"2017,6,19,,,,,,,""Lisame riigipüha. Lisame puhkepäeva, kui rahvuspüha või riigipüha langeb nädalavahetusele."",Vastuskiri kollektiivsele pöördumisele,https://drive.google.com/file/d/1FY2PMffPRGILcoUfA0PMk8EeN6r7iYdj/view?usp=sharing,,,,,,"
